,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
286,Limassol,CY501C1,CY00,CY,2015,39.5
287,Lisbon,PT001C1,PT17,PT,2015,39.9
288,Ljubljana,SI001C1,SI04,SI,2015,39.1
289,London,UK001K2,UKI,UK,2015,37.9
290,Luxembourg,LU001C1,LU00,LU,2015,37.4
291,Lyon,FR003C2,FRK2,FR,2015,37.4
292,Madrid,ES001C1,ES30,ES,2015,38.4
293,Manchester,UK008C1,UKD3,UK,2015,36.6
294,Milan,IT002C1,ITC4,IT,2015,37.5
295,Munich,DE003L1,DE21,DE,2015,36.2
296,Nicosia,CY001C1,CY0,CY,2015,39.5
297,Oslo,NO001C1,NO01,NO,2015,34.3
298,Paris,FR001C1,FR10,FR,2015,37.9
299,Porto,PT002C1,PT11,PT,2015,39.6
300,Poznan,PL005C1,PL41,PL,2015,41.6
301,Prague,CZ001C1,CZ01,CZ,2015,40.8
302,Reykjavik,IS001C1,IS00,IS,2015,39.6
303,Riga,LV001C1,LV00,LV,2015,39.0
304,Rome,IT001C1,ITI4,IT,2015,36.2
305,Rotterdam,NL003C1,NL33,NL,2015,30.6
306,The Hague (Den Haag),NL001C1,NL33,NL,2015,30.6
307,Seville (Sevilla),ES004C1,ES61,ES,2015,37.0
308,Sofia,BG001C1,BG41,BG,2015,40.4
309,Stockholm,SE001C1,SE11,SE,2015,36.5
310,Stuttgart,DE007C1,DE11,DE,2015,34.9
311,Tallinn,EE001C1,EE00,EE,2015,38.6
312,Thessaloniki,EL002C1,EL52,EL,2015,41.9
313,Timisoara,RO003C1,RO42,RO,2015,40.0
314,Trieste,IT015C1,ITH4,IT,2015,37.0
315,Trondheim,NO003C1,NO06,NO,2015,33.4
316,Turin,IT004C1,ITC1,IT,2015,37.8
317,Varna,BG003C1,BG33,BG,2015,41.4
318,Vienna,AT001C1,AT13,AT,2015,36.2
319,Vilnius,LT001C1,LT01,LT,2015,38.8
320,Warsaw,PL001C1,PL91,PL,2015,40.3
321,Wroclaw,PL004C1,PL51,PL,2015,40.7
322,Zagreb,HR001C1,HR04,HR,2015,39.5
323,Zurich,CH001C1,CH04,CH,2015,34.7
324,Amsterdam,NL002C1,NL32,NL,2016,30.7
325,Ankara,TR001C1,TR51,TR,2016,45.7
326,Antwerp,BE002C1,BE2,BE,2016,37.3
327,Athens,EL001C1,EL30,EL,2016,40.6
328,Barcelona,ES002C1,ES51,ES,2016,37.5
329,Valencia,ES003C1,ES51,ES,2016,37.5
330,Belfast,UK012C1,UKN0,UK,2016,36.3
331,Belgrade, -,RS11,RS,2016,42.5
332,Bergen,NO002C1,NO05,NO,2016,33.5
333,Berlin,DE001C1,DE30,DE,2016,35.7
334,Birmingham,UK002C1,UKG3,UK,2016,36.0
335,Bologna,IT009C1,ITH5,IT,2016,37.5
336,Brasov,RO504C1,RO12,RO,2016,40.3
337,Bratislava,SK001C1,SK01,SK,2016,41.8
338,Bristol,UK011C1,UKK1,UK,2016,36.1
339,Brno,CZ002C1,CZ06,CZ,2016,40.4
340,Brussels,BE001C1,BE1,BE,2016,37.1
341,Bucharest,RO001C1,RO32,RO,2016,40.3
342,Budapest,HU001C1,HU11,HU,2016,39.9
343,Bursa,TR005C1,TR41,TR,2016,47.4
344,Cambridge,UK017C1,UKH1,UK,2016,36.7
345,Cluj-Napoca,RO002C1,RO11,RO,2016,40.0
