City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8,Deaths_in_road_accidents,Average Working Hours,Unemployment_Rate,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Cluj-Napoca,RO002C1,RO11,RO,2014,27.2,58.6,14.2,88.0,40.1,3.8,75.5,351.33,15.3
Cologne,DE004C1,DEA2,DE,2014,17.7,53.9,28.3,25.0,35.2,5.3,81.2,414.97,10.7
Constanta,RO501C1,RO22,RO,2014,32.8,55.2,12.0,99.0,40.5,10.4,74.2,212.35,9.7
Copenhagen,DK001C1,DK01,DK,2014,16.8,35.6,47.5,17.0,33.2,7.5,80.7,458.39,6.3
Cork,IE002C1,IE05,IE,2014,20.8,40.3,38.9,44.0,35.8,12.7,80.8,301.2,11.2
Dublin,IE001C1,IE06,IE,2014,17.8,34.3,47.9,36.0,35.8,11.5,81.8,301.2,12.3
Dusseldorf,DE011C1,DEA1,DE,2014,19.1,57.1,23.8,22.0,35.1,6.4,80.5,414.97,11.5
Edinburgh,UK007C1,UKM7,UK,2014,16.8,32.6,50.6,22.0,36.5,5.8,79.5,274.53,7.1
Eindhoven,NL005C1,NL41,NL,2014,25.9,40.9,33.2,40.0,30.3,7.0,81.7,240.22,12.0
Frankfurt,DE005C1,DE71,DE,2014,15.2,52.8,32.0,26.0,35.5,4.5,81.9,391.39,11.1
Gdansk,PL006C1,PL63,PL,2014,11.2,62.3,26.5,80.0,41.5,8.6,78.2,216.69,16.1
Geneva,CH002C1,CH01,CH,2014,16.1,45.1,38.7,31.0,35.5,7.5,83.9,475.55,10.6
Gent,BE003C1,BE23,BE,2014,25.8,37.5,36.7,57.0,37.4,4.3,82.1,271.85,9.0
Glasgow,UK004C1,UKM3,UK,2014,19.1,34.4,46.5,30.0,36.5,5.9,80.4,274.53,7.1
Gothenburg,SE002C1,SE23,SE,2014,16.8,44.4,38.8,27.0,36.2,7.6,82.4,409.84,3.8
Hamburg,DE002C1,DE60,DE,2014,16.0,50.4,33.6,22.0,36.0,5.0,81.2,604.25,8.4
Iasi,RO502C1,RO21,RO,2014,32.7,55.3,12.0,90.0,40.2,4.2,74.3,212.35,9.7
Istanbul,TR012C1,TR10,TR,2014,62.2,18.8,18.9,15.0,49.5,11.9,78.5,190.05,44.7
Izmir,TR013C1,TR31,TR,2014,61.0,19.9,19.1,41.0,47.6,13.8,78.7,241.49,40.2
Kaunas,LT002C1,LT02,LT,2014,7.6,59.8,32.6,99.0,37.8,11.6,74.8,561.72,3.4
Krakow (Cracow),PL003C1,PL2,PL,2014,6.8,67.3,25.9,61.0,40.2,8.8,79.1,228.77,13.5
Leeds,UK003C1,UKE4,UK,2014,24.9,40.9,34.2,26.0,36.0,6.8,80.4,274.53,13.1
Limassol,CY501C1,CY00,CY,2014,22.4,37.3,40.3,52.0,39.4,16.1,82.3,337.83,7.7
Lisbon,PT001C1,PT17,PT,2014,43.3,25.7,31.0,37.0,40.6,15.0,81.7,588.03,3.4
Ljubljana,SI001C1,SI04,SI,2014,11.9,55.1,33.1,55.0,39.2,8.2,81.2,306.7,9.2
London,UK001K2,UKI,UK,2014,16.3,30.0,53.7,15.0,38.0,6.9,82.6,274.53,15.84
Luxembourg,LU001C1,LU00,LU,2014,18.0,36.0,45.9,64.0,37.4,5.9,82.3,288.14,12.9
Lyon,FR003C2,FRK2,FR,2014,19.8,43.1,37.1,45.0,37.3,8.8,83.7,307.33,7.6
Madrid,ES001C1,ES30,ES,2014,27.9,24.9,47.2,18.0,38.7,18.8,84.9,458.52,9.6
Manchester,UK008C1,UKD3,UK,2014,22.2,40.1,37.7,20.0,36.9,8.0,79.7,274.53,12.0
Milan,IT002C1,ITC4,IT,2014,37.9,44.2,17.9,45.0,37.4,8.2,83.9,358.6,15.8
Munich,DE003L1,DE21,DE,2014,9.6,53.2,37.1,48.0,36.2,2.5,82.6,427.04,10.1
Nicosia,CY001C1,CY0,CY,2014,22.4,37.3,40.3,52.0,39.4,16.1,82.3,337.83,7.7
Oslo,NO001C1,NO01,NO,2014,14.7,31.8,53.4,17.0,34.2,3.8,82.7,529.06,4.7
Paris,FR001C1,FR10,FR,2014,21.9,34.2,43.9,26.0,37.7,9.7,84.4,394.85,6.7
Porto,PT002C1,PT11,PT,2014,62.8,19.0,18.2,59.0,40.0,15.0,81.7,424.75,10.3
Poznan,PL005C1,PL41,PL,2014,8.8,66.7,24.6,78.0,41.8,7.7,77.8,159.76,19.0
Prague,CZ001C1,CZ01,CZ,2014,2.7,57.0,40.3,20.0,40.5,2.5,80.3,710.66,15.8
Reykjavik,IS001C1,IS00,IS,2014,26.4,36.3,37.3,0.0,39.6,4.9,82.9,364.4,6.3
Riga,LV001C1,LV00,LV,2014,10.5,59.3,30.2,106.0,39.1,10.8,74.5,335.88,4.6
Rome,IT001C1,ITI4,IT,2014,29.9,46.8,23.3,63.0,36.2,12.5,83.5,453.55,16.7
Rotterdam,NL003C1,NL33,NL,2014,25.0,40.8,34.2,22.0,30.6,8.4,82.0,333.79,13.1
The Hague (Den Haag),NL001C1,NL33,NL,2014,25.0,40.8,34.2,22.0,30.6,8.4,82.0,333.79,13.1
Seville (Sevilla),ES004C1,ES61,ES,2014,52.4,20.0,27.6,34.0,37.3,34.8,82.1,272.75,12.6
Sofia,BG001C1,BG41,BG,2014,9.3,53.2,37.5,68.0,40.2,8.9,74.0,418.53,3.3
Stockholm,SE001C1,SE11,SE,2014,14.2,38.2,47.6,16.0,36.4,7.1,82.7,471.76,4.1
Stuttgart,DE007C1,DE11,DE,2014,14.0,55.2,30.8,34.0,34.9,3.1,82.5,412.45,9.8
Tallinn,EE001C1,EE00,EE,2014,11.8,50.6,37.6,59.0,38.9,7.4,77.4,335.88,7.7
Thessaloniki,EL002C1,EL52,EL,2014,33.7,39.1,27.3,66.0,42.2,28.7,81.7,496.28,21.1
