,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
155,Varna,BG003C1,BG33,BG,2013,23.7,51.0,25.2
156,Vienna,AT001C1,AT13,AT,2013,17.8,51.6,30.6
157,Vilnius,LT001C1,LT01,LT,2013,3.8,50.4,45.8
158,Warsaw,PL001C1,PL91,PL,2013,4.4,47.6,48.0
159,Wroclaw,PL004C1,PL51,PL,2013,9.6,65.3,25.1
160,Zagreb,HR001C1,HR04,HR,2013,21.4,59.4,19.2
161,Zurich,CH001C1,CH04,CH,2013,11.3,43.6,45.1
162,Amsterdam,NL002C1,NL32,NL,2014,21.2,38.0,40.8
163,Ankara,TR001C1,TR51,TR,2014,50.4,22.7,26.8
164,Antwerp,BE002C1,BE2,BE,2014,23.9,38.9,37.2
165,Athens,EL001C1,EL30,EL,2014,20.0,43.6,36.3
166,Barcelona,ES002C1,ES51,ES,2014,42.6,20.4,37.0
167,Valencia,ES003C1,ES51,ES,2014,42.6,20.4,37.0
168,Belfast,UK012C1,UKN0,UK,2014,27.9,38.1,34.0
169,Belgrade, -,RS11,RS,2014,10.5,56.2,33.3
170,Bergen,NO002C1,NO05,NO,2014,15.8,41.9,42.3
171,Berlin,DE001C1,DE30,DE,2014,14.7,49.2,36.1
172,Birmingham,UK002C1,UKG3,UK,2014,30.7,38.4,30.9
173,Bologna,IT009C1,ITH5,IT,2014,35.4,45.8,18.7
174,Brasov,RO504C1,RO12,RO,2014,26.7,58.7,14.6
175,Bratislava,SK001C1,SK01,SK,2014,4.6,56.4,39.0
176,Bristol,UK011C1,UKK1,UK,2014,18.8,36.5,44.7
177,Brno,CZ002C1,CZ06,CZ,2014,5.9,70.8,23.3
178,Brussels,BE001C1,BE1,BE,2014,32.0,24.4,43.5
179,Bucharest,RO001C1,RO32,RO,2014,14.5,50.4,35.0
180,Budapest,HU001C1,HU11,HU,2014,8.3,49.1,42.5
181,Bursa,TR005C1,TR41,TR,2014,64.2,20.2,15.6
182,Cambridge,UK017C1,UKH1,UK,2014,21.3,41.7,37.0
