City, City_Code, NUTS 2, Country,Year,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Dublin,IE001C1,IE06,IE,2014,81.8,NaN,12.3
Dublin,IE001C1,IE06,IE,2015,81.7,NaN,12.5
Dublin,IE001C1,IE06,IE,2016,82.2,NaN,12.2
Dublin,IE001C1,IE06,IE,2017,82.4,NaN,11.9
Dublin,IE001C1,IE06,IE,2018,82.6,NaN,12.5
Dublin,IE001C1,IE06,IE,2019,NaN,NaN,12.3
Dusseldorf,DE011C1,DEA1,DE,2012,80.1,397.82,12.8
Dusseldorf,DE011C1,DEA1,DE,2013,79.9,407.18,11.9
Dusseldorf,DE011C1,DEA1,DE,2014,80.5,414.97,11.5
Dusseldorf,DE011C1,DEA1,DE,2015,80.1,417.28,10.8
Dusseldorf,DE011C1,DEA1,DE,2016,80.4,422.1,10.3
Dusseldorf,DE011C1,DEA1,DE,2017,80.5,429.17,9.8
Dusseldorf,DE011C1,DEA1,DE,2018,80.3,438.63,10.2
Dusseldorf,DE011C1,DEA1,DE,2019,NaN,NaN,10.9
Edinburgh,UK007C1,UKM7,UK,2012,NaN,NaN,11.8
Edinburgh,UK007C1,UKM7,UK,2013,NaN,NaN,8
Edinburgh,UK007C1,UKM7,UK,2014,NaN,NaN,7.1
Edinburgh,UK007C1,UKM7,UK,2015,NaN,NaN,7.1
Edinburgh,UK007C1,UKM7,UK,2016,NaN,NaN,8
Edinburgh,UK007C1,UKM7,UK,2017,79.8,NaN,7.4
Edinburgh,UK007C1,UKM7,UK,2018,79.9,NaN,7.7
Edinburgh,UK007C1,UKM7,UK,2019,NaN,NaN,7
Eindhoven,NL005C1,NL41,NL,2012,81.3,225.75,12
Eindhoven,NL005C1,NL41,NL,2013,81.5,229.97,10.9
Eindhoven,NL005C1,NL41,NL,2014,81.7,240.22,12
Eindhoven,NL005C1,NL41,NL,2015,81.5,246.02,12.3
Eindhoven,NL005C1,NL41,NL,2016,81.6,249.08,11.9
Eindhoven,NL005C1,NL41,NL,2017,81.7,254.88,10.6
Eindhoven,NL005C1,NL41,NL,2018,81.9,259.01,10.8
Eindhoven,NL005C1,NL41,NL,2019,NaN,NaN,9.9
Frankfurt,DE005C1,DE71,DE,2012,81.4,382.41,11.4
Frankfurt,DE005C1,DE71,DE,2013,81.2,386.74,10.6
Frankfurt,DE005C1,DE71,DE,2014,81.9,391.39,11.1
Frankfurt,DE005C1,DE71,DE,2015,81.3,395.61,10.3
Frankfurt,DE005C1,DE71,DE,2016,81.9,399.02,10.8
Frankfurt,DE005C1,DE71,DE,2017,81.8,406.06,9.3
Frankfurt,DE005C1,DE71,DE,2018,81.8,413.51,9.4
Frankfurt,DE005C1,DE71,DE,2019,NaN,NaN,9.8
Gdansk,PL006C1,PL63,PL,2012,77.3,199.09,16.2
Gdansk,PL006C1,PL63,PL,2013,77.9,200.03,16
Gdansk,PL006C1,PL63,PL,2014,78.2,216.69,16.1
Gdansk,PL006C1,PL63,PL,2015,78,226.09,16.1
Gdansk,PL006C1,PL63,PL,2016,78.3,237.83,16.8
Gdansk,PL006C1,PL63,PL,2017,78.4,238.04,16.7
Gdansk,PL006C1,PL63,PL,2018,78.2,NaN,17.8
Gdansk,PL006C1,PL63,PL,2019,NaN,NaN,18.8
Geneva,CH002C1,CH01,CH,2012,83.2,458.4,10.4
Geneva,CH002C1,CH01,CH,2013,83.2,470.8,11.1
Geneva,CH002C1,CH01,CH,2014,83.9,475.55,10.6
Geneva,CH002C1,CH01,CH,2015,83.4,483.5,10.5
Geneva,CH002C1,CH01,CH,2016,84.2,485.2,9
Geneva,CH002C1,CH01,CH,2017,83.9,489.12,8.6
Geneva,CH002C1,CH01,CH,2018,84.2,494.5,9.1
Geneva,CH002C1,CH01,CH,2019,NaN,NaN,8.3
Gent,BE003C1,BE23,BE,2012,80.9,266.82,10.7
Gent,BE003C1,BE23,BE,2013,81.1,269.12,9.8
Gent,BE003C1,BE23,BE,2014,82.1,271.85,9
Gent,BE003C1,BE23,BE,2015,81.5,276,6.3
Gent,BE003C1,BE23,BE,2016,82.2,280.96,8.1
Gent,BE003C1,BE23,BE,2017,82.2,281.62,10.3
Gent,BE003C1,BE23,BE,2018,82.3,288.7,7.4
Gent,BE003C1,BE23,BE,2019,NaN,NaN,7
Glasgow,UK004C1,UKM3,UK,2012,NaN,NaN,11.8
Glasgow,UK004C1,UKM3,UK,2013,NaN,NaN,8
Glasgow,UK004C1,UKM3,UK,2014,NaN,NaN,7.1
Glasgow,UK004C1,UKM3,UK,2015,NaN,NaN,7.1
Glasgow,UK004C1,UKM3,UK,2016,NaN,NaN,8
