,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
248,Valencia,ES003C1,ES51,ES,2015,18.6
249,Belfast,UK012C1,UKN0,UK,2015,6.1
250,Belgrade, -,RS11,RS,2015,18.7
251,Bergen,NO002C1,NO05,NO,2015,3.9
252,Berlin,DE001C1,DE30,DE,2015,9.5
253,Birmingham,UK002C1,UKG3,UK,2015,7.9
254,Bologna,IT009C1,ITH5,IT,2015,7.8
255,Brasov,RO504C1,RO12,RO,2015,7.4
256,Bratislava,SK001C1,SK01,SK,2015,5.7
257,Bristol,UK011C1,UKK1,UK,2015,3.9
258,Brno,CZ002C1,CZ06,CZ,2015,4.9
259,Brussels,BE001C1,BE1,BE,2015,17.3
260,Bucharest,RO001C1,RO32,RO,2015,5.3
261,Budapest,HU001C1,HU11,HU,2015,5.1
262,Bursa,TR005C1,TR41,TR,2015,7.7
263,Cambridge,UK017C1,UKH1,UK,2015,4.3
264,Cluj-Napoca,RO002C1,RO11,RO,2015,4.6
265,Cologne,DE004C1,DEA2,DE,2015,4.8
266,Constanta,RO501C1,RO22,RO,2015,9.0
267,Copenhagen,DK001C1,DK01,DK,2015,6.8
268,Cork,IE002C1,IE05,IE,2015,10.7
269,Dublin,IE001C1,IE06,IE,2015,9.4
270,Dusseldorf,DE011C1,DEA1,DE,2015,5.9
271,Edinburgh,UK007C1,UKM7,UK,2015,6.0
272,Eindhoven,NL005C1,NL41,NL,2015,6.5
273,Frankfurt,DE005C1,DE71,DE,2015,4.1
274,Gdansk,PL006C1,PL63,PL,2015,6.6
275,Geneva,CH002C1,CH01,CH,2015,7.5
276,Gent,BE003C1,BE23,BE,2015,4.4
277,Glasgow,UK004C1,UKM3,UK,2015,5.8
278,Gothenburg,SE002C1,SE23,SE,2015,6.6
279,Hamburg,DE002C1,DE60,DE,2015,4.3
280,Iasi,RO502C1,RO21,RO,2015,3.6
281,Istanbul,TR012C1,TR10,TR,2015,12.8
282,Izmir,TR013C1,TR31,TR,2015,14.9
283,Kaunas,LT002C1,LT02,LT,2015,9.8
284,Krakow (Cracow),PL003C1,PL2,PL,2015,7.2
285,Leeds,UK003C1,UKE4,UK,2015,6.6
286,Limassol,CY501C1,CY00,CY,2015,15.0
287,Lisbon,PT001C1,PT17,PT,2015,13.1
288,Ljubljana,SI001C1,SI04,SI,2015,7.5
289,London,UK001K2,UKI,UK,2015,6.3
290,Luxembourg,LU001C1,LU00,LU,2015,6.7
291,Lyon,FR003C2,FRK2,FR,2015,9.1
292,Madrid,ES001C1,ES30,ES,2015,17.1
293,Manchester,UK008C1,UKD3,UK,2015,6.5
294,Milan,IT002C1,ITC4,IT,2015,7.9
295,Munich,DE003L1,DE21,DE,2015,2.7
296,Nicosia,CY001C1,CY0,CY,2015,15.0
297,Oslo,NO001C1,NO01,NO,2015,4.7
298,Paris,FR001C1,FR10,FR,2015,9.6
299,Porto,PT002C1,PT11,PT,2015,13.8
300,Poznan,PL005C1,PL41,PL,2015,5.8
301,Prague,CZ001C1,CZ01,CZ,2015,2.8
302,Reykjavik,IS001C1,IS00,IS,2015,4.0
303,Riga,LV001C1,LV00,LV,2015,9.9
304,Rome,IT001C1,ITI4,IT,2015,11.8
305,Rotterdam,NL003C1,NL33,NL,2015,7.8
306,The Hague (Den Haag),NL001C1,NL33,NL,2015,7.8
307,Seville (Sevilla),ES004C1,ES61,ES,2015,31.6
308,Sofia,BG001C1,BG41,BG,2015,6.7
309,Stockholm,SE001C1,SE11,SE,2015,7.0
310,Stuttgart,DE007C1,DE11,DE,2015,3.4
311,Tallinn,EE001C1,EE00,EE,2015,6.2
312,Thessaloniki,EL002C1,EL52,EL,2015,26.0
313,Timisoara,RO003C1,RO42,RO,2015,5.4
314,Trieste,IT015C1,ITH4,IT,2015,8.0
315,Trondheim,NO003C1,NO06,NO,2015,3.7
316,Turin,IT004C1,ITC1,IT,2015,10.3
317,Varna,BG003C1,BG33,BG,2015,10.3
318,Vienna,AT001C1,AT13,AT,2015,10.6
319,Vilnius,LT001C1,LT01,LT,2015,7.6
320,Warsaw,PL001C1,PL91,PL,2015,4.9
321,Wroclaw,PL004C1,PL51,PL,2015,7.0
322,Zagreb,HR001C1,HR04,HR,2015,15.9
323,Zurich,CH001C1,CH04,CH,2015,4.1
324,Amsterdam,NL002C1,NL32,NL,2016,5.5
325,Ankara,TR001C1,TR51,TR,2016,11.4
326,Antwerp,BE002C1,BE2,BE,2016,4.8
