,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
260,Gdansk,PL006C1,PL63,PL,2015,75.0
261,Geneva,CH002C1,CH01,CH,2015,28.0
262,Gent,BE003C1,BE23,BE,2015,68.0
263,Gothenburg,SE002C1,SE23,SE,2015,27.0
264,Hamburg,DE002C1,DE60,DE,2015,11.0
265,Iasi,RO502C1,RO21,RO,2015,100.0
266,Istanbul,TR012C1,TR10,TR,2015,40.0
267,Izmir,TR013C1,TR31,TR,2015,83.0
268,Kaunas,LT002C1,LT02,LT,2015,90.0
269,Krakow (Cracow),PL003C1,PL2,PL,2015,58.0
270,Leeds,UK003C1,UKE4,UK,2015,21.0
271,Limassol,CY501C1,CY00,CY,2015,67.0
272,Lisbon,PT001C1,PT17,PT,2015,31.0
273,Ljubljana,SI001C1,SI04,SI,2015,58.0
274,London,UK001K2,UKI,UK,2015,16.0
275,Luxembourg,LU001C1,LU00,LU,2015,64.0
276,Lyon,FR003C2,FRK2,FR,2015,51.0
277,Madrid,ES001C1,ES30,ES,2015,17.0
278,Manchester,UK008C1,UKD3,UK,2015,18.0
279,Milan,IT002C1,ITC4,IT,2015,48.0
280,Munich,DE003L1,DE21,DE,2015,38.0
281,Nicosia,CY001C1,CY0,CY,2015,67.0
282,Oslo,NO001C1,NO01,NO,2015,11.0
283,Paris,FR001C1,FR10,FR,2015,28.0
284,Porto,PT002C1,PT11,PT,2015,43.0
285,Poznan,PL005C1,PL41,PL,2015,71.0
286,Prague,CZ001C1,CZ01,CZ,2015,23.0
287,Riga,LV001C1,LV00,LV,2015,95.0
288,Rome,IT001C1,ITI4,IT,2015,63.0
289,Rotterdam,NL003C1,NL33,NL,2015,24.0
290,The Hague (Den Haag),NL001C1,NL33,NL,2015,24.0
291,Seville (Sevilla),ES004C1,ES61,ES,2015,31.0
292,Sofia,BG001C1,BG41,BG,2015,72.0
293,Stockholm,SE001C1,SE11,SE,2015,6.0
294,Stuttgart,DE007C1,DE11,DE,2015,32.0
295,Tallinn,EE001C1,EE00,EE,2015,51.0
296,Thessaloniki,EL002C1,EL52,EL,2015,65.0
297,Timisoara,RO003C1,RO42,RO,2015,116.0
298,Trieste,IT015C1,ITH4,IT,2015,57.0
299,Trondheim,NO003C1,NO06,NO,2015,25.0
300,Turin,IT004C1,ITC1,IT,2015,56.0
301,Varna,BG003C1,BG33,BG,2015,112.0
302,Vienna,AT001C1,AT13,AT,2015,7.0
303,Vilnius,LT001C1,LT01,LT,2015,63.0
304,Warsaw,PL001C1,PL91,PL,2015,
305,Wroclaw,PL004C1,PL51,PL,2015,64.0
306,Zagreb,HR001C1,HR04,HR,2015,73.0
307,Zurich,CH001C1,CH04,CH,2015,16.0
308,Amsterdam,NL002C1,NL32,NL,2016,31.0
309,Ankara,TR001C1,TR51,TR,2016,73.0
310,Antwerp,BE002C1,BE2,BE,2016,52.0
311,Athens,EL001C1,EL30,EL,2016,53.0
312,Barcelona,ES002C1,ES51,ES,2016,38.0
313,Valencia,ES003C1,ES51,ES,2016,38.0
314,Belfast,UK012C1,UKN0,UK,2016,37.0
315,Bergen,NO002C1,NO05,NO,2016,18.0
316,Berlin,DE001C1,DE30,DE,2016,16.0
317,Birmingham,UK002C1,UKG3,UK,2016,21.0
318,Bologna,IT009C1,ITH5,IT,2016,69.0
319,Brasov,RO504C1,RO12,RO,2016,99.0
320,Bratislava,SK001C1,SK01,SK,2016,44.0
321,Bristol,UK011C1,UKK1,UK,2016,29.0
322,Brno,CZ002C1,CZ06,CZ,2016,51.0
323,Brussels,BE001C1,BE1,BE,2016,14.0
324,Bucharest,RO001C1,RO32,RO,2016,58.0
325,Budapest,HU001C1,HU11,HU,2016,32.0
326,Bursa,TR005C1,TR41,TR,2016,81.0
327,Cambridge,UK017C1,UKH1,UK,2016,45.0
328,Cluj-Napoca,RO002C1,RO11,RO,2016,91.0
329,Cologne,DE004C1,DEA2,DE,2016,30.0
330,Constanta,RO501C1,RO22,RO,2016,112.0
331,Copenhagen,DK001C1,DK01,DK,2016,29.0
332,Cork,IE002C1,IE05,IE,2016,40.0
333,Dublin,IE001C1,IE06,IE,2016,34.0
334,Dusseldorf,DE011C1,DEA1,DE,2016,23.0
335,Eindhoven,NL005C1,NL41,NL,2016,45.0
336,Frankfurt,DE005C1,DE71,DE,2016,34.0
337,Gdansk,PL006C1,PL63,PL,2016,63.0
338,Geneva,CH002C1,CH01,CH,2016,26.0
339,Gent,BE003C1,BE23,BE,2016,56.0
340,Gothenburg,SE002C1,SE23,SE,2016,34.0
341,Hamburg,DE002C1,DE60,DE,2016,16.0
342,Iasi,RO502C1,RO21,RO,2016,106.0
343,Istanbul,TR012C1,TR10,TR,2016,38.0
344,Izmir,TR013C1,TR31,TR,2016,80.0
345,Kaunas,LT002C1,LT02,LT,2016,70.0
346,Krakow (Cracow),PL003C1,PL2,PL,2016,56.0
347,Leeds,UK003C1,UKE4,UK,2016,16.0
348,Limassol,CY501C1,CY00,CY,2016,54.0
349,Lisbon,PT001C1,PT17,PT,2016,30.0
350,Ljubljana,SI001C1,SI04,SI,2016,57.0
351,London,UK001K2,UKI,UK,2016,13.0
352,Luxembourg,LU001C1,LU00,LU,2016,56.0
353,Lyon,FR003C2,FRK2,FR,2016,54.0
354,Madrid,ES001C1,ES30,ES,2016,19.0
355,Manchester,UK008C1,UKD3,UK,2016,20.0
356,Milan,IT002C1,ITC4,IT,2016,43.0
357,Munich,DE003L1,DE21,DE,2016,41.0
358,Nicosia,CY001C1,CY0,CY,2016,54.0
359,Oslo,NO001C1,NO01,NO,2016,13.0
360,Paris,FR001C1,FR10,FR,2016,24.0
361,Porto,PT002C1,PT11,PT,2016,39.0
362,Poznan,PL005C1,PL41,PL,2016,72.0
363,Prague,CZ001C1,CZ01,CZ,2016,21.0
364,Riga,LV001C1,LV00,LV,2016,80.0
365,Rome,IT001C1,ITI4,IT,2016,59.0
366,Rotterdam,NL003C1,NL33,NL,2016,19.0
367,The Hague (Den Haag),NL001C1,NL33,NL,2016,19.0
368,Seville (Sevilla),ES004C1,ES61,ES,2016,36.0
369,Sofia,BG001C1,BG41,BG,2016,60.0
370,Stockholm,SE001C1,SE11,SE,2016,12.0
371,Stuttgart,DE007C1,DE11,DE,2016,30.0
372,Tallinn,EE001C1,EE00,EE,2016,54.0
373,Thessaloniki,EL002C1,EL52,EL,2016,76.0
374,Timisoara,RO003C1,RO42,RO,2016,99.0
375,Trieste,IT015C1,ITH4,IT,2016,55.0
376,Trondheim,NO003C1,NO06,NO,2016,31.0
377,Turin,IT004C1,ITC1,IT,2016,56.0
378,Varna,BG003C1,BG33,BG,2016,105.0
379,Vienna,AT001C1,AT13,AT,2016,10.0
380,Vilnius,LT001C1,LT01,LT,2016,58.0
381,Warsaw,PL001C1,PL91,PL,2016,
382,Wroclaw,PL004C1,PL51,PL,2016,79.0
383,Zagreb,HR001C1,HR04,HR,2016,72.0
384,Zurich,CH001C1,CH04,CH,2016,15.0
385,Amsterdam,NL002C1,NL32,NL,2017,29.0
386,Ankara,TR001C1,TR51,TR,2017,73.0
387,Antwerp,BE002C1,BE2,BE,2017,46.0
388,Athens,EL001C1,EL30,EL,2017,43.0
389,Barcelona,ES002C1,ES51,ES,2017,38.0
390,Valencia,ES003C1,ES51,ES,2017,38.0
391,Belfast,UK012C1,UKN0,UK,2017,34.0
392,Bergen,NO002C1,NO05,NO,2017,26.0
393,Berlin,DE001C1,DE30,DE,2017,10.0
394,Birmingham,UK002C1,UKG3,UK,2017,20.0
395,Bologna,IT009C1,ITH5,IT,2017,85.0
396,Brasov,RO504C1,RO12,RO,2017,94.0
397,Bratislava,SK001C1,SK01,SK,2017,39.0
398,Bristol,UK011C1,UKK1,UK,2017,31.0
399,Brno,CZ002C1,CZ06,CZ,2017,61.0
400,Brussels,BE001C1,BE1,BE,2017,20.0
401,Bucharest,RO001C1,RO32,RO,2017,63.0
402,Budapest,HU001C1,HU11,HU,2017,28.0
403,Bursa,TR005C1,TR41,TR,2017,90.0
404,Cambridge,UK017C1,UKH1,UK,2017,45.0
405,Cluj-Napoca,RO002C1,RO11,RO,2017,88.0
406,Cologne,DE004C1,DEA2,DE,2017,27.0
407,Constanta,RO501C1,RO22,RO,2017,106.0
408,Copenhagen,DK001C1,DK01,DK,2017,18.0
409,Cork,IE002C1,IE05,IE,2017,36.0
410,Dublin,IE001C1,IE06,IE,2017,25.0
411,Dusseldorf,DE011C1,DEA1,DE,2017,23.0
412,Eindhoven,NL005C1,NL41,NL,2017,39.0
413,Frankfurt,DE005C1,DE71,DE,2017,28.0
414,Gdansk,PL006C1,PL63,PL,2017,59.0
415,Geneva,CH002C1,CH01,CH,2017,27.0
416,Gent,BE003C1,BE23,BE,2017,42.0
417,Gothenburg,SE002C1,SE23,SE,2017,24.0
418,Hamburg,DE002C1,DE60,DE,2017,15.0
419,Iasi,RO502C1,RO21,RO,2017,103.0
420,Istanbul,TR012C1,TR10,TR,2017,37.0
421,Izmir,TR013C1,TR31,TR,2017,79.0
422,Kaunas,LT002C1,LT02,LT,2017,72.0
423,Krakow (Cracow),PL003C1,PL2,PL,2017,56.0
424,Leeds,UK003C1,UKE4,UK,2017,19.0
425,Limassol,CY501C1,CY00,CY,2017,62.0
426,Lisbon,PT001C1,PT17,PT,2017,34.0
427,Ljubljana,SI001C1,SI04,SI,2017,41.0
428,London,UK001K2,UKI,UK,2017,15.0
429,Luxembourg,LU001C1,LU00,LU,2017,42.0
430,Lyon,FR003C2,FRK2,FR,2017,49.0
431,Madrid,ES001C1,ES30,ES,2017,19.0
432,Manchester,UK008C1,UKD3,UK,2017,8.0
433,Milan,IT002C1,ITC4,IT,2017,42.0
434,Munich,DE003L1,DE21,DE,2017,36.0
435,Nicosia,CY001C1,CY0,CY,2017,62.0
436,Oslo,NO001C1,NO01,NO,2017,10.0
437,Paris,FR001C1,FR10,FR,2017,26.0
438,Porto,PT002C1,PT11,PT,2017,52.0
439,Poznan,PL005C1,PL41,PL,2017,85.0
440,Prague,CZ001C1,CZ01,CZ,2017,14.0
441,Riga,LV001C1,LV00,LV,2017,70.0
442,Rome,IT001C1,ITI4,IT,2017,60.0
443,Rotterdam,NL003C1,NL33,NL,2017,27.0
444,The Hague (Den Haag),NL001C1,NL33,NL,2017,27.0
445,Seville (Sevilla),ES004C1,ES61,ES,2017,36.0
446,Sofia,BG001C1,BG41,BG,2017,63.0
447,Stockholm,SE001C1,SE11,SE,2017,19.0
448,Stuttgart,DE007C1,DE11,DE,2017,31.0
449,Tallinn,EE001C1,EE00,EE,2017,36.0
450,Thessaloniki,EL002C1,EL52,EL,2017,56.0
451,Timisoara,RO003C1,RO42,RO,2017,119.0
452,Trieste,IT015C1,ITH4,IT,2017,57.0
453,Trondheim,NO003C1,NO06,NO,2017,26.0
454,Turin,IT004C1,ITC1,IT,2017,64.0
455,Varna,BG003C1,BG33,BG,2017,104.0
